p1,p2,truth,prediction
A4GSN8,Q94F30,1,0.9999715089797974
F4JL11,Q9C829,1,0.9999988079071045
O04292,Q9LEZ3,1,0.9999998807907104
O04294,Q9SSQ8,1,0.9999711513519287
O04294,O80837,1,0.99996018409729
O04294,Q2VWA2,1,0.999972939491272
O04294,Q8RWF8,1,0.9999997615814209
O04294,Q42384,1,0.9999973773956299
O04294,Q42384,1,0.9999973773956299
O04294,Q9SMP3,1,0.9999991655349731
O04294,Q8VZL7,1,0.9999337196350098
O04294,Q8GX29,1,0.9999966621398926
O04294,O49629,1,0.9993570446968079
O04294,Q9FIK0,1,0.9999597072601318
O04294,O65154,1,0.9996203184127808
O04294,F4JRR1,1,0.9999241828918457
O04294,O22179,1,0.9999979734420776
O04294,Q9ASW4,1,0.9999229907989502
O04294,O22703,1,0.9999998807907104
O04294,O82230,1,0.9997046589851379
O04294,Q9SR38,1,0.9999586343765259
O04294,Q93WC7,1,0.9999959468841553
O04294,Q84K72,1,0.9999680519104004
O04294,Q8VZJ1,1,0.9999997615814209
O04326,Q9CAN1,1,0.9875923991203308
O04326,Q5XF13,1,0.46162575483322144
O04326,Q6NLF5,1,0.5741316676139832
O04326,Q9LXV1,1,0.9604334235191345
O04326,O82174,1,0.9904537200927734
O04326,Q8GWT5,1,0.9768094420433044
O04326,O22690,1,0.8653082251548767
O04326,Q8GWM8,1,0.7802732586860657
O04326,Q93VN2,1,0.9990118741989136
O04326,Q8LF05,1,0.998350977897644
O04326,Q42342,1,0.9911484718322754
O04326,Q9ZV66,1,0.7932428121566772
O04326,Q9FZ98,1,0.9849964380264282
O04326,P53799,1,0.9997822642326355
O04326,Q9LJU6,1,0.8991836905479431
O04326,Q93XX0,1,0.9968613386154175
O04326,Q9FI47,1,0.9924545288085938
O04326,Q9M1J1,1,0.9998866319656372
O04326,Q9SHG7,1,0.9841251373291016
O04326,Q9LSW5,1,0.7885048389434814
O04326,Q8GYN0,1,0.886769711971283
O04326,Q8L586,1,0.7259117960929871
O04326,Q8RXL7,1,0.9974935054779053
O04326,O82219,1,0.9827783703804016
O04326,O80895,1,0.9964224696159363
O04326,Q9M9S6,1,0.9592078924179077
O04326,Q9XI60,1,0.7631493806838989
O04326,P47192,1,0.9996022582054138
O04326,P42813,1,0.9984242916107178
O22467,Q6A333,1,1.0
O22873,Q9LZW4,1,0.9999933242797852
O22873,Q9LZW4,1,0.9999933242797852
O22873,Q9LZW4,1,0.9999933242797852
O23160,O04294,1,0.9999892711639404
O23160,O04294,1,0.9999892711639404
O23160,O04294,1,0.9999892711639404
O48741,Q8VZ95,1,0.9957964420318604
O48741,O04326,1,0.991094708442688
O48847,O64740,1,0.9999994039535522
O49378,Q8VZ95,1,0.6285653114318848
O49653,Q949W6,1,0.9999779462814331
O64740,Q8LAZ7,1,0.9966174960136414
O64852,Q9LVR8,1,0.9999985694885254
O64852,Q8GYH9,1,0.999990701675415
O65397,O04326,1,0.9896605014801025
O65555,O04294,1,0.9999686479568481
O80594,Q8GXA4,1,0.5851824283599854
O80594,O04326,1,0.6181298494338989
O80837,O04294,1,0.99996018409729
O80837,O04294,1,0.99996018409729
O80837,O04294,1,0.99996018409729
O80895,Q8GXA4,1,0.9999605417251587
O81042,F4JN35,1,0.9963406920433044
O81042,Q8VZW1,1,0.5430523157119751
O81062,Q8VZ95,1,0.983698844909668
O81062,O04326,1,0.9736238718032837
O82567,Q8VZ95,1,0.731843113899231
O82568,Q8VZ95,1,0.805302083492279
P26587,O04326,1,0.5407352447509766
P27202,O04326,1,0.9186492562294006
P29382,O04294,1,0.9999923706054688
P30302,O04326,1,0.6597673296928406
P42813,Q8VZ95,1,0.9995344877243042
P47192,Q8VZ95,1,0.9999276399612427
P57752,Q9LVR8,1,0.9981086254119873
P59229,Q8GXA4,1,0.9992227554321289
P82874,O04326,1,0.7881471514701843
P92941,O04326,1,0.9999432563781738
P93004,Q8VZ95,1,0.7390971779823303
P93004,Q8VZ95,1,0.7390971779823303
P93830,O04294,1,0.9999077320098877
P93830,O04294,1,0.9999077320098877
P93830,O04294,1,0.9999077320098877
P94077,Q8RY25,1,0.9954503178596497
Q01525,O22224,1,0.9999889135360718
Q0WQ91,Q8L7E5,1,0.9353411197662354
Q147J7,O04326,1,0.9971170425415039
Q17TI5,Q9S9K9,1,1.0
Q17TI5,Q9LEZ3,1,1.0
Q17TI5,Q9LEZ3,1,1.0
Q17TI5,Q9LEZ3,1,1.0
Q17TI5,Q9S9K9,1,1.0
Q17TI5,Q9LEZ3,1,1.0
Q17TI5,Q9S9K9,1,1.0
Q17TI5,Q9LEZ3,1,1.0
Q38822,O04294,1,0.9999998807907104
Q38822,O04294,1,0.9999998807907104
Q38822,O04294,1,0.9999998807907104
Q38845,Q9LEZ3,1,0.9605996012687683
Q38845,Q9LEZ3,1,0.9605996012687683
Q38845,Q9LEZ3,1,0.9605996012687683
Q38854,Q9SGD1,1,0.9999929666519165
Q38935,O04326,1,0.9961526989936829
Q39101,O04294,1,0.9999939203262329
Q39101,O04294,1,0.9999939203262329
Q39101,O04294,1,0.9999939203262329
Q41975,Q8VZ95,1,0.7646914720535278
Q41975,O04326,1,0.7901014089584351
Q42328,Q8VZ95,1,0.9999072551727295
Q42328,O04326,1,0.9995567202568054
Q42342,Q8VZ95,1,0.9958898425102234
Q42342,Q8GXA4,1,0.9997681975364685
Q42384,O04294,1,0.9999973773956299
Q42403,Q9LVR8,1,0.999325156211853
Q56ZZ7,Q8VZ95,1,0.349516898393631
Q5XF13,Q8VZ95,1,0.3923545181751251
Q5XF36,Q8VZ95,1,0.8402236700057983
Q5XF36,O04326,1,0.8542132377624512
Q5YDB6,Q9S9K9,1,0.9999997615814209
Q6A333,Q9SRH9,1,0.9999997615814209
Q6A333,Q84TK1,1,1.0
Q6A333,Q9SRH9,1,0.9999997615814209
Q6IDC5,O04326,1,0.9373499155044556
Q6NLF5,Q8GXA4,1,0.4991726279258728
Q6NQ51,Q9LVR8,1,0.99998939037323
Q7X887,Q9S9K9,1,0.9999995231628418
Q7X887,Q9S9K9,1,0.9999995231628418
Q7XA86,O04326,1,0.9998255372047424
Q84JB8,Q9LVR8,1,0.9983624815940857
Q84JB8,Q9LVR8,1,0.9983624815940857
Q84JJ0,O04294,1,0.9999961853027344
Q84MB2,Q8GUL2,1,0.24745039641857147
Q84MB2,Q8GUL2,1,0.24745039641857147
Q84MB2,Q8GUL2,1,0.24745039641857147
Q84MB2,O04294,1,0.9999349117279053
Q84MC9,Q8VZ95,1,0.2775990962982178
Q84MC9,Q8GXA4,1,0.14430691301822662
Q84N34,Q8GYH9,1,0.9999818801879883
Q84N34,Q9LVR8,1,0.9999979734420776
Q84W04,Q8VZ95,1,0.9501869678497314
Q84WI4,O04326,1,0.9974849224090576
Q8GUK3,Q8VZ95,1,0.6646309494972229
Q8GW17,Q9LEZ3,1,0.884069561958313
Q8GW17,Q9LEZ3,1,0.884069561958313
Q8GW17,Q9LEZ3,1,0.884069561958313
Q8GW44,Q9FH18,1,0.9999785423278809
Q8GWH4,Q8GXA4,1,0.8448479771614075
Q8GWH4,O04326,1,0.6835259199142456
Q8GWK2,Q8GWR1,1,0.9891811013221741
Q8GWK2,Q8GWR1,1,0.9891811013221741
Q8GWK2,Q8GWR1,1,0.9891811013221741
Q8GX70,Q8VZ95,1,0.9010945558547974
Q8GX70,Q8GXA4,1,0.9638672471046448
Q8GX78,O04326,1,0.5836436152458191
Q8GXA4,O82245,1,0.9714673757553101
Q8GXA4,Q94CK3,1,0.9999994039535522
Q8GXA4,Q9SCL4,1,0.5757192969322205
Q8GXA4,Q9FZ54,1,0.9999523162841797
Q8GXA4,Q9LDU6,1,1.0
Q8GXA4,Q9ZVX8,1,0.6156916618347168
Q8GXA4,Q9M651,1,0.9983783960342407
Q8GXA4,P47192,1,0.999998927116394
Q8GXA4,Q8GW44,1,0.999980092048645
Q8GXA4,Q8GW44,1,0.999980092048645
Q8GXA4,Q5XF13,1,0.3920680582523346
Q8GXA4,Q41975,1,0.9200301766395569
Q8GXA4,P82874,1,0.916284441947937
Q8GXA4,O81062,1,0.9984534978866577
Q8GXA4,Q9LE82,1,0.9810252785682678
Q8GXA4,Q9FK55,1,0.9234110116958618
Q8GXA4,Q8RY98,1,0.9805609583854675
