p1,p2,truth,prediction
0,1,1,1.0
2,3,1,1.0
4,5,1,1.0
6,7,1,1.0
6,8,1,1.0
6,9,1,1.0
6,10,1,1.0
6,11,1,1.0
6,11,1,1.0
6,12,1,1.0
6,13,1,1.0
6,14,1,1.0
6,15,1,1.0
6,16,1,1.0
6,17,1,1.0
6,18,1,1.0
6,19,1,1.0
6,20,1,1.0
6,21,1,1.0
6,22,1,1.0
6,23,1,1.0
6,24,1,1.0
6,25,1,1.0
6,26,1,1.0
27,28,1,1.0
27,29,1,1.0
27,30,1,1.0
27,31,1,1.0
27,32,1,1.0
27,33,1,1.0
27,34,1,1.0
27,35,1,1.0
27,36,1,1.0
27,37,1,1.0
27,38,1,1.0
27,39,1,1.0
27,40,1,1.0
27,41,1,1.0
27,42,1,1.0
27,43,1,1.0
27,44,1,1.0
27,45,1,1.0
27,46,1,1.0
27,47,1,1.0
27,48,1,1.0
27,49,1,1.0
27,50,1,1.0
27,51,1,1.0
27,52,1,1.0
27,53,1,1.0
27,54,1,1.0
27,55,1,1.0
27,56,1,1.0
57,58,1,1.0
59,60,1,1.0
59,60,1,1.0
59,60,1,1.0
61,6,1,1.0
61,6,1,1.0
61,6,1,1.0
62,63,1,0.9998219609260559
62,27,1,1.0
64,65,1,0.9989737272262573
66,63,1,0.9994490742683411
67,68,1,1.0
65,69,1,1.0
70,71,1,0.9999998807907104
70,72,1,2.753441776803811e-06
73,27,1,1.0
74,6,1,1.0
75,76,1,0.8930115103721619
75,27,1,1.0
8,6,1,1.0
8,6,1,1.0
8,6,1,1.0
52,76,1,1.0
77,78,1,0.9999972581863403
77,79,1,0.9999992847442627
80,63,1,0.07886392623186111
80,27,1,1.0
81,63,1,1.4777341448279913e-06
82,63,1,4.727181658381596e-05
83,27,1,1.0
84,27,1,1.0
85,6,1,1.0
86,27,1,1.0
56,63,1,1.0
55,63,1,1.0
87,71,1,1.0
88,76,1,0.9382560849189758
89,27,1,1.0
90,27,1,1.0
91,63,1,0.9903653264045715
91,63,1,0.9903653264045715
92,6,1,1.0
92,6,1,1.0
92,6,1,1.0
93,94,1,1.0
95,96,1,1.0
97,98,1,1.0
99,27,1,1.0
100,101,1,1.0
100,5,1,1.0
100,5,1,1.0
100,5,1,1.0
100,101,1,1.0
100,5,1,1.0
100,101,1,1.0
100,5,1,1.0
102,6,1,1.0
102,6,1,1.0
102,6,1,1.0
103,5,1,0.9999163150787354
103,5,1,0.9999163150787354
103,5,1,0.9999163150787354
104,105,1,1.0
106,27,1,1.0
107,6,1,1.0
107,6,1,1.0
107,6,1,1.0
108,63,1,0.21412043273448944
108,27,1,1.0
109,63,1,1.0
109,27,1,1.0
38,63,1,1.0
38,76,1,1.0
11,6,1,1.0
110,71,1,1.0
111,63,1,0.0008427880820818245
29,63,1,0.9181530475616455
112,63,1,0.0002379869547439739
112,27,1,1.0
113,101,1,1.0
58,114,1,1.0
58,115,1,1.0
58,114,1,1.0
116,27,1,1.0
30,76,1,0.13770517706871033
117,71,1,1.0
118,101,1,1.0
118,101,1,1.0
119,27,1,1.0
120,71,1,1.0
120,71,1,1.0
121,6,1,1.0
122,123,1,1.0
122,123,1,1.0
122,123,1,1.0
122,6,1,1.0
124,63,1,0.13380937278270721
124,76,1,0.022992383688688278
125,72,1,1.0
125,71,1,1.0
126,63,1,0.9441956281661987
127,27,1,1.0
128,63,1,0.009932798333466053
129,5,1,0.9999973773956299
129,5,1,0.9999973773956299
129,5,1,0.9999973773956299
130,131,1,1.0
132,76,1,3.113129423581995e-05
132,27,1,1.0
133,134,1,1.0
133,134,1,1.0
133,134,1,1.0
135,63,1,1.7797719920054078e-05
135,76,1,1.5323562365665566e-06
136,27,1,1.0
76,137,1,1.0
76,138,1,1.0
76,139,1,0.00018907201592810452
76,140,1,1.0
76,141,1,1.0
76,142,1,0.9999998807907104
76,143,1,4.5016549847787246e-05
76,55,1,1.0
76,130,1,1.0
76,130,1,1.0
76,29,1,0.9999809265136719
76,108,1,0.9993743300437927
76,89,1,1.0
76,80,1,0.0020550771150738
76,144,1,0.9993932247161865
76,145,1,0.999983549118042
76,146,1,1.0
76,76,1,1.0
76,147,1,1.0
76,148,1,1.0
76,149,1,1.0
76,150,1,1.0
76,131,1,1.0
76,151,1,1.0
76,152,1,1.0
76,153,1,1.0
76,154,1,0.9999980926513672
76,155,1,2.566138755355496e-05
76,156,1,1.0
76,157,1,1.0
76,144,1,0.9993932247161865
76,158,1,1.0
76,159,1,0.0027954343240708113
76,151,1,1.0
76,151,1,1.0
160,6,1,1.0
48,76,1,1.0
161,76,1,1.0
162,6,1,1.0
163,6,1,1.0
49,63,1,1.0
164,76,1,1.0
165,166,1,1.0
98,76,1,1.0
98,144,1,1.0
98,144,1,1.0
98,144,1,1.0
98,144,1,1.0
98,98,1,1.0
98,76,1,1.0
98,76,1,1.0
98,76,1,1.0
167,168,1,0.999944806098938
167,169,1,0.9991645812988281
170,6,1,1.0
171,6,1,1.0
172,63,1,0.9932584762573242
172,27,1,1.0
173,68,1,0.9999997615814209
174,63,1,0.3204843997955322
175,71,1,1.0
176,6,1,1.0
177,101,1,1.0
50,76,1,1.0
50,63,1,1.0
178,27,1,1.0
146,71,1,1.0
179,72,1,0.0003242091916035861
179,71,1,1.0
180,76,1,1.0
181,71,1,1.0
182,76,1,1.0
183,76,1,1.0
63,76,1,0.9996784925460815
63,116,1,0.008945594541728497
63,184,1,6.690902978334634e-07
63,126,1,0.9441956281661987
63,137,1,0.9998972415924072
63,185,1,0.9999997615814209
63,45,1,0.9999983310699463
63,31,1,0.9774135947227478
63,31,1,0.9774135947227478
63,33,1,0.15187270939350128
63,186,1,0.0005425925482995808
63,44,1,0.9999822378158569
63,39,1,0.25315746665000916
63,28,1,1.0
63,42,1,0.16759182512760162
