p1,p2,truth,prediction
A4GSN8,Q94F30,1,0.09857149422168732
F4JL11,Q9C829,1,0.7856425046920776
O04292,Q9LEZ3,1,0.5744177103042603
O04294,Q9SSQ8,1,0.09820328652858734
O04294,O80837,1,0.9988260865211487
O04294,Q2VWA2,1,0.0007122185779735446
O04294,Q8RWF8,1,0.9999210834503174
O04294,Q42384,1,0.9997177720069885
O04294,Q42384,1,0.9997177720069885
O04294,Q9SMP3,1,0.9978532195091248
O04294,Q8VZL7,1,0.9998202919960022
O04294,Q8GX29,1,0.07867713272571564
O04294,O49629,1,0.9642021656036377
O04294,Q9FIK0,1,0.9981011748313904
O04294,O65154,1,0.9991722106933594
O04294,F4JRR1,1,0.9846998453140259
O04294,O22179,1,0.9999774694442749
O04294,Q9ASW4,1,0.01476974692195654
O04294,O22703,1,0.0697396770119667
O04294,O82230,1,0.9986822009086609
O04294,Q9SR38,1,0.7451599836349487
O04294,Q93WC7,1,0.005212052259594202
O04294,Q84K72,1,0.9916262626647949
O04294,Q8VZJ1,1,0.9997671246528625
O04326,Q9CAN1,1,0.3774105906486511
O04326,Q5XF13,1,0.033899348229169846
O04326,Q6NLF5,1,0.08438411355018616
O04326,Q9LXV1,1,0.46761155128479004
O04326,O82174,1,0.5221720933914185
O04326,Q8GWT5,1,0.023034367710351944
O04326,O22690,1,0.039917632937431335
O04326,Q8GWM8,1,0.00467944098636508
O04326,Q93VN2,1,0.5418089032173157
O04326,Q8LF05,1,0.013351411558687687
O04326,Q42342,1,0.07118843495845795
O04326,Q9ZV66,1,0.47926661372184753
O04326,Q9FZ98,1,0.0030980603769421577
O04326,P53799,1,0.5618805885314941
O04326,Q9LJU6,1,0.0015889850910753012
O04326,Q93XX0,1,0.5416778922080994
O04326,Q9FI47,1,0.4587439298629761
O04326,Q9M1J1,1,0.048772990703582764
O04326,Q9SHG7,1,0.2855725884437561
O04326,Q9LSW5,1,0.0035999768879264593
O04326,Q8GYN0,1,0.0024209930561482906
O04326,Q8L586,1,0.5647150278091431
O04326,Q8RXL7,1,0.003391201375052333
O04326,O82219,1,0.2973642647266388
O04326,O80895,1,0.49619370698928833
O04326,Q9M9S6,1,0.019069522619247437
O04326,Q9XI60,1,0.5138723850250244
O04326,P47192,1,0.03500678390264511
O04326,P42813,1,0.2183312624692917
O22467,Q6A333,1,0.03212347999215126
O22873,Q9LZW4,1,0.9994603991508484
O22873,Q9LZW4,1,0.9994603991508484
O22873,Q9LZW4,1,0.9994603991508484
O23160,O04294,1,0.9998650550842285
O23160,O04294,1,0.9998650550842285
O23160,O04294,1,0.9998650550842285
O48741,Q8VZ95,1,0.11436226963996887
O48741,O04326,1,0.47120797634124756
O48847,O64740,1,0.00022596376948058605
O49378,Q8VZ95,1,0.3401404023170471
O49653,Q949W6,1,0.09846053272485733
O64740,Q8LAZ7,1,0.006206302437931299
O64852,Q9LVR8,1,6.683633728243876e-06
O64852,Q8GYH9,1,0.5491200089454651
O65397,O04326,1,0.005085870623588562
O65555,O04294,1,1.4171482689562254e-05
O80594,Q8GXA4,1,0.017164573073387146
O80594,O04326,1,0.0017285427311435342
O80837,O04294,1,0.9988284707069397
O80837,O04294,1,0.9988284707069397
O80837,O04294,1,0.9988284707069397
O80895,Q8GXA4,1,0.012788424268364906
O81042,F4JN35,1,1.8949205696117133e-05
O81042,Q8VZW1,1,0.823376476764679
O81062,Q8VZ95,1,0.5828671455383301
O81062,O04326,1,0.01485312357544899
O82567,Q8VZ95,1,0.4606821537017822
O82568,Q8VZ95,1,0.15438725054264069
P26587,O04326,1,0.006076977588236332
P27202,O04326,1,0.4801316559314728
P29382,O04294,1,0.9903835654258728
P30302,O04326,1,0.009835162200033665
P42813,Q8VZ95,1,0.15036673843860626
P47192,Q8VZ95,1,0.3204358220100403
P57752,Q9LVR8,1,0.07803928852081299
P59229,Q8GXA4,1,0.03402775526046753
P82874,O04326,1,0.47956809401512146
P92941,O04326,1,0.3708227574825287
P93004,Q8VZ95,1,0.05086338520050049
P93004,Q8VZ95,1,0.05086338520050049
P93830,O04294,1,0.010284767486155033
P93830,O04294,1,0.010284767486155033
P93830,O04294,1,0.010284767486155033
P94077,Q8RY25,1,0.3931664824485779
Q01525,O22224,1,0.9997993111610413
Q0WQ91,Q8L7E5,1,7.075038865878014e-06
Q147J7,O04326,1,0.5023255944252014
Q17TI5,Q9S9K9,1,0.7041824460029602
Q17TI5,Q9LEZ3,1,0.3840363323688507
Q17TI5,Q9LEZ3,1,0.3840363323688507
Q17TI5,Q9LEZ3,1,0.3840363323688507
Q17TI5,Q9S9K9,1,0.7041824460029602
Q17TI5,Q9LEZ3,1,0.3840363323688507
Q17TI5,Q9S9K9,1,0.7041824460029602
Q17TI5,Q9LEZ3,1,0.3840363323688507
Q38822,O04294,1,0.000653690891340375
Q38822,O04294,1,0.000653690891340375
Q38822,O04294,1,0.000653690891340375
Q38845,Q9LEZ3,1,0.07599256932735443
Q38845,Q9LEZ3,1,0.07599256932735443
Q38845,Q9LEZ3,1,0.07599256932735443
Q38854,Q9SGD1,1,0.99355149269104
Q38935,O04326,1,0.46526268124580383
Q39101,O04294,1,0.9999936819076538
Q39101,O04294,1,0.9999936819076538
Q39101,O04294,1,0.9999936819076538
Q41975,Q8VZ95,1,0.2740333080291748
Q41975,O04326,1,0.23971857130527496
Q42328,Q8VZ95,1,0.10125906020402908
Q42328,O04326,1,0.458873987197876
Q42342,Q8VZ95,1,0.36109328269958496
Q42342,Q8GXA4,1,0.07605466991662979
Q42384,O04294,1,0.9997175335884094
Q42403,Q9LVR8,1,2.9779701435472816e-05
Q56ZZ7,Q8VZ95,1,0.3694233298301697
Q5XF13,Q8VZ95,1,0.38206425309181213
Q5XF36,Q8VZ95,1,0.1161513552069664
Q5XF36,O04326,1,0.5044682025909424
Q5YDB6,Q9S9K9,1,0.9999847412109375
Q6A333,Q9SRH9,1,0.678509533405304
Q6A333,Q84TK1,1,0.22111912071704865
Q6A333,Q9SRH9,1,0.678509533405304
Q6IDC5,O04326,1,0.01773596927523613
Q6NLF5,Q8GXA4,1,0.29822251200675964
Q6NQ51,Q9LVR8,1,0.30451884865760803
Q7X887,Q9S9K9,1,0.15353168547153473
Q7X887,Q9S9K9,1,0.15353168547153473
Q7XA86,O04326,1,0.001436973107047379
Q84JB8,Q9LVR8,1,0.00640026293694973
Q84JB8,Q9LVR8,1,0.00640026293694973
Q84JJ0,O04294,1,7.993022154551e-05
Q84MB2,Q8GUL2,1,0.9999377727508545
Q84MB2,Q8GUL2,1,0.9999377727508545
Q84MB2,Q8GUL2,1,0.9999377727508545
Q84MB2,O04294,1,0.9999505281448364
Q84MC9,Q8VZ95,1,0.5516112446784973
Q84MC9,Q8GXA4,1,0.046912577003240585
Q84N34,Q8GYH9,1,0.00013928167754784226
Q84N34,Q9LVR8,1,0.8142339587211609
Q84W04,Q8VZ95,1,0.2553849220275879
Q84WI4,O04326,1,0.2084980309009552
Q8GUK3,Q8VZ95,1,0.6431476473808289
Q8GW17,Q9LEZ3,1,0.3628925383090973
Q8GW17,Q9LEZ3,1,0.3628925383090973
Q8GW17,Q9LEZ3,1,0.3628925383090973
Q8GW44,Q9FH18,1,0.6206132173538208
Q8GWH4,Q8GXA4,1,0.02608516812324524
Q8GWH4,O04326,1,0.0033767407294362783
Q8GWK2,Q8GWR1,1,0.999972939491272
Q8GWK2,Q8GWR1,1,0.999972939491272
Q8GWK2,Q8GWR1,1,0.999972939491272
Q8GX70,Q8VZ95,1,0.5844659805297852
Q8GX70,Q8GXA4,1,0.03996890410780907
Q8GX78,O04326,1,0.6160586476325989
Q8GXA4,O82245,1,0.014617668464779854
Q8GXA4,Q94CK3,1,0.5028442144393921
Q8GXA4,Q9SCL4,1,0.027368584647774696
Q8GXA4,Q9FZ54,1,0.16829374432563782
