p1,p2,truth,prediction
A4GSN8,Q94F30,1,0.9993395209312439
F4JL11,Q9C829,1,1.0
O04292,Q9LEZ3,1,1.4764824300073087e-05
O04294,Q9SSQ8,1,6.039080631126126e-07
O04294,O80837,1,1.0
O04294,Q2VWA2,1,1.0
O04294,Q8RWF8,1,0.015450304374098778
O04294,Q42384,1,1.0
O04294,Q42384,1,1.0
O04294,Q9SMP3,1,0.9999997615814209
O04294,Q8VZL7,1,0.9999998807907104
O04294,Q8GX29,1,1.7815351611716324e-06
O04294,O49629,1,1.3486358056979952e-06
O04294,Q9FIK0,1,1.0
O04294,O65154,1,1.0
O04294,F4JRR1,1,0.9999998807907104
O04294,O22179,1,0.9999996423721313
O04294,Q9ASW4,1,0.9999974966049194
O04294,O22703,1,0.9999998807907104
O04294,O82230,1,0.9999998807907104
O04294,Q9SR38,1,0.9999998807907104
O04294,Q93WC7,1,0.9999967813491821
O04294,Q84K72,1,1.0
O04294,Q8VZJ1,1,1.0
O04326,Q9CAN1,1,5.62816737659233e-10
O04326,Q5XF13,1,4.6701483569222546e-08
O04326,Q6NLF5,1,3.7234646477202205e-09
O04326,Q9LXV1,1,1.4608138698690709e-08
O04326,O82174,1,7.309462546345458e-08
O04326,Q8GWT5,1,0.0001076484695659019
O04326,O22690,1,8.747252877583378e-07
O04326,Q8GWM8,1,0.9999986886978149
O04326,Q93VN2,1,1.0
O04326,Q8LF05,1,1.0
O04326,Q42342,1,0.0004310609365347773
O04326,Q9ZV66,1,2.3686368876951747e-05
O04326,Q9FZ98,1,3.262162415196279e-11
O04326,P53799,1,0.987165093421936
O04326,Q9LJU6,1,7.826769774510467e-07
O04326,Q93XX0,1,0.9999940395355225
O04326,Q9FI47,1,0.0006773898494429886
O04326,Q9M1J1,1,0.999958872795105
O04326,Q9SHG7,1,5.126312707659508e-10
O04326,Q9LSW5,1,7.720033501357193e-09
O04326,Q8GYN0,1,3.0981839316268633e-10
O04326,Q8L586,1,1.64336144518884e-12
O04326,Q8RXL7,1,2.453979207339696e-11
O04326,O82219,1,1.0
O04326,O80895,1,0.001177908736281097
O04326,Q9M9S6,1,2.83931433919804e-10
O04326,Q9XI60,1,0.9999991655349731
O04326,P47192,1,2.3863577780502965e-11
O04326,P42813,1,0.9999990463256836
O22467,Q6A333,1,0.9999278783798218
O22873,Q9LZW4,1,0.9999997615814209
O22873,Q9LZW4,1,0.9999997615814209
O22873,Q9LZW4,1,0.9999997615814209
O23160,O04294,1,1.0
O23160,O04294,1,1.0
O23160,O04294,1,1.0
O48741,Q8VZ95,1,0.8078241348266602
O48741,O04326,1,1.0
O48847,O64740,1,0.9999998807907104
O49378,Q8VZ95,1,0.09021088480949402
O49653,Q949W6,1,1.0
O64740,Q8LAZ7,1,0.9999945163726807
O64852,Q9LVR8,1,2.753447461145697e-07
O64852,Q8GYH9,1,1.0
O65397,O04326,1,3.3983826863703825e-10
O65555,O04294,1,0.9999998807907104
O80594,Q8GXA4,1,0.0001444387889932841
O80594,O04326,1,7.590076052110817e-07
O80837,O04294,1,1.0
O80837,O04294,1,1.0
O80837,O04294,1,1.0
O80895,Q8GXA4,1,0.014172633178532124
O81042,F4JN35,1,6.095581557019614e-05
O81042,Q8VZW1,1,0.9948967099189758
O81062,Q8VZ95,1,0.08078882843255997
O81062,O04326,1,2.9290288944272547e-11
O82567,Q8VZ95,1,0.10752072185277939
O82568,Q8VZ95,1,0.11678122729063034
P26587,O04326,1,2.0983910076211032e-07
P27202,O04326,1,1.2758056982420385e-05
P29382,O04294,1,1.0
P30302,O04326,1,7.97861066104133e-09
P42813,Q8VZ95,1,0.7915303111076355
P47192,Q8VZ95,1,0.11834624409675598
P57752,Q9LVR8,1,0.008370771072804928
P59229,Q8GXA4,1,0.9994762539863586
P82874,O04326,1,0.23337598145008087
P92941,O04326,1,4.899905434285756e-06
P93004,Q8VZ95,1,0.06183883175253868
P93004,Q8VZ95,1,0.06183883175253868
P93830,O04294,1,1.0
P93830,O04294,1,1.0
P93830,O04294,1,1.0
P94077,Q8RY25,1,0.0026910461019724607
Q01525,O22224,1,0.9867773652076721
Q0WQ91,Q8L7E5,1,8.571859507355839e-05
Q147J7,O04326,1,1.2056818876615694e-09
Q17TI5,Q9S9K9,1,0.0013730007922276855
Q17TI5,Q9LEZ3,1,4.0057617297861725e-05
Q17TI5,Q9LEZ3,1,4.0057617297861725e-05
Q17TI5,Q9LEZ3,1,4.0057617297861725e-05
Q17TI5,Q9S9K9,1,0.0013730007922276855
Q17TI5,Q9LEZ3,1,4.0057617297861725e-05
Q17TI5,Q9S9K9,1,0.0013730007922276855
Q17TI5,Q9LEZ3,1,4.0057617297861725e-05
Q38822,O04294,1,0.9999979734420776
Q38822,O04294,1,0.9999979734420776
Q38822,O04294,1,0.9999979734420776
Q38845,Q9LEZ3,1,0.9997958540916443
Q38845,Q9LEZ3,1,0.9997958540916443
Q38845,Q9LEZ3,1,0.9997958540916443
Q38854,Q9SGD1,1,0.9692341089248657
Q38935,O04326,1,0.9999850988388062
Q39101,O04294,1,1.0
Q39101,O04294,1,1.0
Q39101,O04294,1,1.0
Q41975,Q8VZ95,1,0.7748419642448425
Q41975,O04326,1,0.07402446866035461
Q42328,Q8VZ95,1,0.2338399887084961
Q42328,O04326,1,0.0002934872463811189
Q42342,Q8VZ95,1,0.4892413318157196
Q42342,Q8GXA4,1,0.010403679683804512
Q42384,O04294,1,1.0
Q42403,Q9LVR8,1,0.0373111367225647
Q56ZZ7,Q8VZ95,1,0.9345923066139221
Q5XF13,Q8VZ95,1,0.16299928724765778
Q5XF36,Q8VZ95,1,0.770210325717926
Q5XF36,O04326,1,0.8389222025871277
Q5YDB6,Q9S9K9,1,0.3346109986305237
Q6A333,Q9SRH9,1,0.9996908903121948
Q6A333,Q84TK1,1,0.9957072138786316
Q6A333,Q9SRH9,1,0.9996908903121948
Q6IDC5,O04326,1,2.1602011845978097e-10
Q6NLF5,Q8GXA4,1,7.883005309849977e-06
Q6NQ51,Q9LVR8,1,0.001967056654393673
Q7X887,Q9S9K9,1,0.999546468257904
Q7X887,Q9S9K9,1,0.999546468257904
Q7XA86,O04326,1,1.6307757277900237e-07
Q84JB8,Q9LVR8,1,6.221316795063103e-08
Q84JB8,Q9LVR8,1,6.221316795063103e-08
Q84JJ0,O04294,1,0.9999988079071045
Q84MB2,Q8GUL2,1,0.9999817609786987
Q84MB2,Q8GUL2,1,0.9999817609786987
Q84MB2,Q8GUL2,1,0.9999817609786987
Q84MB2,O04294,1,1.0
Q84MC9,Q8VZ95,1,0.026253897696733475
Q84MC9,Q8GXA4,1,5.1472247832862195e-06
Q84N34,Q8GYH9,1,4.154807164979957e-09
Q84N34,Q9LVR8,1,0.894560694694519
Q84W04,Q8VZ95,1,0.07402191311120987
Q84WI4,O04326,1,1.949480854523955e-10
Q8GUK3,Q8VZ95,1,0.18637977540493011
Q8GW17,Q9LEZ3,1,0.9999349117279053
Q8GW17,Q9LEZ3,1,0.9999349117279053
Q8GW17,Q9LEZ3,1,0.9999349117279053
Q8GW44,Q9FH18,1,0.8402227759361267
Q8GWH4,Q8GXA4,1,2.1915839170105755e-05
Q8GWH4,O04326,1,1.875493182978971e-08
Q8GWK2,Q8GWR1,1,1.0
Q8GWK2,Q8GWR1,1,1.0
Q8GWK2,Q8GWR1,1,1.0
Q8GX70,Q8VZ95,1,0.6400766968727112
Q8GX70,Q8GXA4,1,0.03538598492741585
Q8GX78,O04326,1,5.737604488742498e-11
Q8GXA4,O82245,1,0.9953444600105286
Q8GXA4,Q94CK3,1,0.9995817542076111
Q8GXA4,Q9SCL4,1,6.205558747751638e-06
Q8GXA4,Q9FZ54,1,0.9812063574790955
Q8GXA4,Q9LDU6,1,0.7861480116844177
Q8GXA4,Q9ZVX8,1,3.667684040919994e-07
Q8GXA4,Q9M651,1,0.9999909400939941
Q8GXA4,P47192,1,7.255803211592138e-07
Q8GXA4,Q8GW44,1,0.6360964775085449
Q8GXA4,Q8GW44,1,0.6360964775085449
Q8GXA4,Q5XF13,1,3.28321366396267e-05
Q8GXA4,Q41975,1,0.18248796463012695
Q8GXA4,P82874,1,0.34927433729171753
Q8GXA4,O81062,1,4.828155510949728e-07
Q8GXA4,Q9LE82,1,0.9999750852584839
Q8GXA4,Q9FK55,1,9.175584273179993e-05
Q8GXA4,Q8RY98,1,6.962248153286055e-05
Q8GXA4,Q8GXA4,1,0.9985906481742859
Q8GXA4,Q93ZQ3,1,0.03179464116692543
Q8GXA4,Q94A32,1,0.9986214637756348
Q8GXA4,Q9C500,1,0.9999136924743652
Q8GXA4,Q5XEV3,1,0.6136677861213684
Q8GXA4,Q9FH18,1,0.9823877215385437
Q8GXA4,Q84MC7,1,0.9969518184661865
