p1,p2,truth,prediction
Q08949,P38089,1,1.0
P02293,P00560,1,0.9999971389770508
P53199,P53043,1,1.0
P47093,P37370,1,0.9999998807907104
P38922,P34730,1,0.9999984502792358
P53628,P32629,1,1.0
P53628,P47050,1,1.0
Q08018,P35189,1,1.0
P41697,P38080,1,1.0
Q12199,P16140,1,1.0
Q08979,Q02884,1,1.0
Q12460,Q04411,1,1.0
P32450,P00044,1,0.9999954700469971
P32565,O14467,1,0.9999721050262451
P29461,P07274,1,0.9999998807907104
Q01590,P11154,1,1.0
P40473,P32527,1,1.0
Q02875,P25559,1,1.0
P39958,P09232,1,1.0
P43603,P22203,1,0.9981568455696106
Q12285,P40988,1,0.9999992847442627
P53147,P42841,1,1.0
Q12483,P38789,1,0.9999996423721313
Q03919,P25569,1,0.9999717473983765
P53145,P30902,1,0.9999998807907104
Q12026,P42944,1,0.999972939491272
Q99189,Q08558,1,1.0
P39076,P27614,1,1.0
Q06142,P08431,1,1.0
Q06549,P39730,1,0.9999977350234985
Q08162,P06105,1,1.0
Q12447,Q07657,1,1.0
P40032,P38931,1,0.9999983310699463
P32480,P25357,1,0.9999992847442627
P28795,P22219,1,1.0
Q12017,P42846,1,1.0
P40956,P32573,1,1.0
P40016,P38810,1,1.0
P36107,P32501,1,1.0
P33303,P01149,1,0.9999998807907104
Q06679,P17123,1,1.0
P38149,P19145,1,1.0
P38801,P07270,1,0.9999997615814209
Q03957,P53067,1,1.0
P32864,P00359,1,1.0
P20438,P18963,1,1.0
P48232,P16862,1,0.9999252557754517
Q04048,P35181,1,1.0
P40335,P38805,1,1.0
P45976,P38751,1,0.9999538660049438
P50086,P22204,1,0.9999998807907104
P38798,P32605,1,1.0
P39966,P25515,1,1.0
Q03785,P35182,1,1.0
Q07528,P32767,1,1.0
Q03012,P39966,1,1.0
P38696,P05317,1,1.0
P40517,P39940,1,1.0
P40327,P40069,1,0.9999996423721313
Q04411,P32504,1,0.9999948740005493
P38862,P22515,1,1.0
P53271,P26570,1,0.9999998807907104
Q07786,P23293,1,1.0
Q12026,P07703,1,0.9999911785125732
P25808,P21268,1,0.9999998807907104
Q04964,P25644,1,0.999992847442627
Q12186,P25491,1,0.9999995231628418
P53124,P32590,1,1.0
Q07915,P47104,1,0.9999998807907104
Q05636,P39967,1,0.9999997615814209
Q12477,P18494,1,1.0
P57743,P00546,1,0.9999977350234985
P43563,P29340,1,0.9999997615814209
P50277,P38874,1,0.9999986886978149
Q03774,P40453,1,1.0
P51601,P38293,1,0.9999992847442627
Q08217,P40007,1,1.0
P47029,P34217,1,1.0
Q05583,P53104,1,1.0
Q03308,P39727,1,1.0
Q06216,P38431,1,1.0
Q04978,P20435,1,1.0
P38873,P34216,1,1.0
Q12285,P22007,1,1.0
P21705,P06777,1,0.9998953342437744
P38315,P22517,1,0.9999988079071045
Q08144,Q00955,1,1.0
P53743,P09798,1,1.0
Q08119,P21243,1,0.999972939491272
Q07786,P39718,1,1.0
P30771,P12753,1,1.0
P53267,P25303,1,1.0
P53163,P22203,1,0.9999997615814209
P53863,P32898,1,1.0
Q03010,P02293,1,0.9999970197677612
Q04660,P41318,1,1.0
P38272,P25580,1,0.9999995231628418
P43535,P12611,1,1.0
P38690,P33328,1,1.0
Q00246,P25342,1,1.0
Q02100,P38759,1,0.9999998807907104
P51601,P39523,1,1.0
Q12264,P33299,1,0.9999936819076538
P53211,P04912,1,0.9984421133995056
